City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,punta arenas,-53.15,-70.9167,6.06,81,0,14.4,CL,1682230393
83,mikuni,36.2171,136.1519,12.88,47,77,9.27,JP,1682230137
84,yellowknife,62.456,-114.3525,3.29,56,20,3.6,CA,1682230394
85,charters towers,-20.1,146.2667,26.17,53,95,5.44,AU,1682230394
86,hamilton,39.1834,-84.5333,4.49,73,0,3.09,US,1682230394
87,buri,-23.7975,-48.5928,13.47,98,17,2.43,BR,1682230394
88,fortuna,40.5982,-124.1573,11.63,93,29,1.17,US,1682230395
89,stene,50.9523,2.3681,10.04,50,72,2.24,FR,1682230395
90,toliara,-23.35,43.6667,24.67,68,20,2.64,MG,1682230395
91,xacmaz,41.4635,48.806,16.13,72,46,3.67,AZ,1682230395
92,uacu cungo,-11.3634,15.1208,16.52,95,97,1.14,AO,1682230396
93,puerto ayora,-0.7393,-90.3518,25.31,92,74,3.24,EC,1682230396
94,solleftea,63.1667,17.2667,-1.04,90,100,3.12,SE,1682230396
95,wailua homesteads,22.0669,-159.378,24.24,88,100,3.6,US,1682230396
96,rongelap,11.1635,166.8941,27.19,82,57,8.61,MH,1682230396
97,colonia,50.9333,6.95,12.71,87,20,2.57,DE,1682230397
98,hadibu,12.65,54.0333,29.33,61,80,0.9,YE,1682230397
99,fraserburgh,57.6874,-2.0184,6.91,93,100,9.08,GB,1682230397
100,arno,60.1167,18.6333,2.66,75,68,2.36,SE,1682230397
101,medina,24.4686,39.6142,28.24,26,37,1.54,SA,1682230293
102,san patricio,28.017,-97.5169,23.93,87,82,6.71,US,1682230397
103,bel ombre,-4.6167,55.4167,31.91,66,20,3.6,SC,1682230397
104,saipan,15.1355,145.701,30.39,100,40,7.2,MP,1682230186
105,nar'yan-mar,67.6713,53.087,-5.43,83,35,7.29,RU,1682230398
106,katsuren-haebaru,26.3369,127.8719,25.01,72,96,5.79,JP,1682230398
107,mezhdurechenskiy,59.6,65.9333,9.75,71,100,2.64,RU,1682230398
108,banyo,6.75,11.8167,20.05,90,98,0.65,CM,1682230398
109,mount pearl,47.5166,-52.7813,2.75,98,100,8.23,CA,1682230398
110,el calafate,-50.3408,-72.2768,7.41,88,88,6.48,AR,1682230398
111,westport,41.1415,-73.3579,14.04,92,100,6.69,US,1682230398
112,ilulissat,69.2167,-51.1,0.01,93,100,0.51,GL,1682230399
113,revda,56.801,59.9303,5.49,93,100,2.35,RU,1682230325
114,korla,41.7597,86.1469,10.63,53,69,12.88,CN,1682230399
115,anadyr,64.75,177.4833,-3.72,73,0,2.0,RU,1682230399
116,kuqa,41.7278,82.9364,16.83,9,0,3.99,CN,1682230265
117,hirara,24.8,125.2833,23.65,78,18,4.19,JP,1682230261
118,longyearbyen,78.2186,15.6401,-10.09,73,0,3.6,SJ,1682230399
119,aasiaat,68.7098,-52.8699,-1.32,98,100,3.53,GL,1682230400
120,ivdel',60.6911,60.4206,10.43,47,79,3.45,RU,1682230400
121,novoshakhtinskiy,44.025,132.1514,10.12,22,75,8.79,RU,1682230400
122,alofi,-19.0595,-169.9187,25.12,74,39,7.07,NU,1682230400
123,potosi,-19.5836,-65.7531,4.64,92,8,2.19,BO,1682230304
124,naze,28.3667,129.4833,19.89,75,72,7.06,JP,1682230113
125,beau vallon,-20.4189,57.6953,28.13,78,75,5.14,MU,1682230400
126,lebu,-37.6167,-73.65,11.08,89,6,6.06,CL,1682230401
127,jamestown,42.097,-79.2353,6.77,92,20,3.6,US,1682230401
128,quellon,-43.1167,-73.6167,5.14,100,75,1.03,CL,1682230233
129,bassar,9.25,0.7833,24.87,78,55,1.99,TG,1682230401
130,nkove,-7.95,30.85,24.09,75,100,1.48,TZ,1682230401
131,namtsy,62.7161,129.6658,0.15,86,20,6.35,RU,1682230401
132,broken hill,-31.95,141.4333,23.37,33,0,6.05,AU,1682230402
133,sirte,31.2089,16.5887,17.67,84,1,8.26,LY,1682230402
134,afaahiti,-17.75,-149.2833,26.93,81,100,8.24,PF,1682230402
135,vilyuysk,63.7553,121.6247,-0.16,83,21,2.86,RU,1682230402
136,baicheng,45.6167,122.8167,12.16,9,0,5.3,CN,1682230402
137,avarua,-21.2078,-159.775,22.03,88,30,0.51,CK,1682230403
138,kodar,16.9833,79.9667,36.84,36,15,5.06,IN,1682230403
139,pisco,-13.7,-76.2167,21.03,88,0,3.09,PE,1682230403
140,codajas,-3.8367,-62.0569,22.18,99,100,1.15,BR,1682230404
141,abong mbang,3.9833,13.1833,20.65,93,98,1.23,CM,1682230404
142,tolanaro,-25.0319,46.9987,25.34,68,18,1.36,MG,1682230404
143,geraldton,-28.7667,114.6,27.23,39,0,5.14,AU,1682230147
144,san ignacio,17.1561,-89.0714,24.06,87,81,1.11,BZ,1682230405
145,rosetta,31.4044,30.4164,19.5,57,85,4.48,EG,1682230405
146,cameron park,38.6688,-120.9872,17.59,73,98,1.68,US,1682230405
147,sarvar,47.2539,16.9352,13.92,72,46,3.32,HU,1682230289
148,tashtagol,52.7657,87.8894,9.01,58,33,1.14,RU,1682230406
149,poronaysk,49.2167,143.1167,4.49,60,100,3.63,RU,1682230406
150,sao felix do xingu,-6.6447,-51.995,21.64,98,100,0.46,BR,1682230407
151,baganga,7.5739,126.56,29.11,76,50,3.15,PH,1682230407
152,port isabel,26.0734,-97.2086,25.03,87,40,7.2,US,1682230407
153,torghay,49.6339,63.4981,18.87,44,69,4.95,KZ,1682230408
154,kyzyl-suu,42.3414,78.0056,11.59,31,1,2.62,KG,1682230408
155,nova sintra,14.8667,-24.7167,19.89,76,4,9.05,CV,1682230408
156,kibuye,-2.0597,29.3482,18.77,88,100,1.53,RW,1682230408
157,vrangel',42.7297,133.0839,8.26,39,44,7.38,RU,1682230409
158,vilyuchinsk,52.9306,158.4028,5.15,94,99,1.33,RU,1682230409
159,worthing,50.8145,-0.3713,11.32,88,100,1.34,GB,1682230249
160,waingapu,-9.6567,120.2641,29.15,67,33,4.16,ID,1682230410
161,biesenthal,52.7662,13.6442,15.14,63,97,2.19,DE,1682230410
162,severo-yeniseyskiy,60.3725,93.0408,1.73,94,71,2.9,RU,1682230410
163,klaksvik,62.2266,-6.589,3.51,67,100,13.66,FO,1682230410
164,lagoa,39.05,-27.9833,15.7,95,100,6.88,PT,1682230410
165,safi,32.1667,-8.8333,13.11,91,65,4.14,MA,1682230411
166,peronne,49.9333,2.9333,9.32,100,40,5.14,FR,1682230411
167,stanley,54.868,-1.6985,5.95,92,92,1.52,GB,1682230141
168,dapchi,12.4904,11.4944,29.48,37,39,4.1,NG,1682230411
169,viveiro,43.6623,-7.5934,14.57,90,92,8.05,ES,1682230338
170,gidole,5.65,37.3667,16.71,76,99,2.42,ET,1682230411
171,eraan,9.0629,117.7016,31.02,66,43,2.18,PH,1682230412
172,linhares,-19.3911,-40.0722,20.31,90,79,2.52,BR,1682230412
173,susuman,62.7833,148.1667,-2.69,67,87,5.28,RU,1682230412
174,kavieng,-2.5744,150.7967,28.45,74,100,3.42,PG,1682230413
175,aripuana,-9.1667,-60.6333,22.16,100,100,0.33,BR,1682230413
176,ballina,-28.8667,153.5667,22.1,62,83,8.95,AU,1682230316
177,morant bay,17.8815,-76.4093,25.79,77,73,1.61,JM,1682230413
178,burang,30.25,81.1667,-2.36,50,4,2.0,CN,1682230413
179,shenjiamen,29.9576,122.298,15.5,78,91,7.34,CN,1682230413
180,irkutsk,52.2978,104.2964,8.43,27,0,5.0,RU,1682230279
181,nizhnesortymskiy,62.4397,71.7603,1.27,99,67,3.08,RU,1682230414
182,vila franca do campo,37.7167,-25.4333,17.23,96,100,7.0,PT,1682230414
183,lucapa,-8.4192,20.7447,19.84,96,100,1.29,AO,1682230414
184,kununurra,-15.7667,128.7333,31.99,29,0,7.2,AU,1682230414
185,lubango,-14.9172,13.4925,15.36,87,59,1.53,AO,1682230415
186,gaoping,30.7758,106.1029,10.56,91,100,4.53,CN,1682230415
187,port lincoln,-34.7333,135.8667,19.89,64,0,4.99,AU,1682230415
188,kalevala,65.2,31.1667,-1.52,73,58,1.61,RU,1682230415
189,sitka,57.0531,-135.33,6.94,87,100,1.54,US,1682230415
190,inhambane,-23.865,35.3833,23.99,78,40,3.09,MZ,1682230416
191,tsiombe,-25.3,45.4833,25.47,70,62,2.32,MG,1682230416
192,belmonte,-15.8631,-38.8828,23.92,90,84,3.44,BR,1682230416
193,alice springs,-23.7,133.8833,26.75,24,43,5.14,AU,1682230416
194,prineville,44.2999,-120.8345,13.06,65,100,0.0,US,1682230416
195,ola,59.5833,151.2833,3.97,54,99,9.35,RU,1682230416
196,reriutaba,-4.1417,-40.5822,20.05,92,83,1.04,BR,1682230417
197,zeya,53.75,127.2667,4.83,47,100,4.09,RU,1682230417
198,ulaangom,49.9811,92.0667,7.94,18,57,3.22,MN,1682230417
199,ust-nera,64.5667,143.2,-0.4,79,100,3.0,RU,1682230417
200,pacific grove,36.6177,-121.9166,12.91,86,75,3.09,US,1682230417
201,samassi,39.4817,8.9092,17.88,93,0,1.03,IT,1682230390
202,akureyri,65.6835,-18.0878,-6.04,86,20,1.54,IS,1682230410
203,mil'kovo,55.6078,37.7956,15.79,49,13,2.21,RU,1682230419
204,polyarnyye zori,67.3661,32.4981,-2.47,67,10,4.73,RU,1682230419
205,happy valley-goose bay,53.3168,-60.3315,1.17,93,100,0.0,CA,1682230419
206,jashpurnagar,22.9,84.15,29.93,21,97,2.49,IN,1682230419
207,polyarnyy,69.1989,33.4478,-3.3,79,93,10.28,RU,1682230332
208,qaqortoq,60.7167,-46.0333,-0.58,90,82,1.06,GL,1682230420
209,rensselaer,42.7168,-73.4829,10.22,88,98,6.23,US,1682230420
210,vadso,70.0744,29.7487,-1.91,74,75,13.38,NO,1682230420
211,vorgashor,67.5833,63.95,0.13,89,100,7.77,RU,1682230420
212,nuuk,64.1835,-51.7216,3.34,75,100,5.66,GL,1682230285
213,biltine,14.5333,20.9167,32.05,11,4,2.85,TD,1682230421
214,vernon,50.2581,-119.2691,13.2,52,100,4.63,CA,1682230421
215,dubovka,49.0583,44.829,11.53,66,94,3.42,RU,1682230383
216,keetmanshoop,-26.5833,18.1333,18.2,17,91,0.8,NA,1682230422
217,cangas de onis,43.3284,-5.0718,12.28,76,99,2.93,ES,1682230422
218,kaa-khem,51.6833,94.7333,7.98,24,10,1.37,RU,1682230422
219,dudinka,69.4058,86.1778,1.46,98,100,8.72,RU,1682230422
220,saldanha,-33.0117,17.9442,14.03,92,100,8.68,ZA,1682230423
221,castillos,-34.1667,-53.8333,15.94,94,100,1.62,UY,1682230423
222,kourou,5.1552,-52.6478,23.03,95,100,2.39,GF,1682230423
223,kiama,-34.6833,150.8667,19.65,92,99,1.34,AU,1682230423
224,klyuchi,52.2667,79.1667,12.5,32,99,7.38,RU,1682230423
225,port-vila,-17.7338,168.3219,26.78,78,20,4.12,VU,1682230359
226,smithers,54.7804,-127.1743,5.18,93,100,0.0,CA,1682230424
227,dwarka,22.2394,68.9678,29.51,56,6,5.04,IN,1682230424
228,aabenraa,55.0443,9.4174,8.95,95,100,4.04,DK,1682230424
229,makurazaki,31.2667,130.3167,17.64,61,30,2.17,JP,1682230340
